Website,Title,Price,Date,Time
Flipkart,"GOVO GOBASS 400 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹300,2023-06-27,10:53:01
Flipkart,"GOVO GOBASS 410 in Ear Earphones with Mic, 3D Bass with XL Drivers & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹449,2023-06-27,10:53:02
Flipkart,N/A,N/A,2023-06-27,10:53:02
Flipkart,"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (Blue, In the Ear)",N/A,2023-06-27,10:53:03
Flipkart,"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (White, In the Ear)",N/A,2023-06-27,10:53:03
Flipkart,"GOVO GOBASS 610 in-Ear Earphones with 12mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹400,2023-06-27,10:53:04
Flipkart,"GOVO GOBASS 900 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹549,2023-06-27,10:53:05
Flipkart,"GOVO GOBASS 910 Wired Metal Earphones with 9mm Drivers,Tangle Free cable & 3.5mm Jack Wired Headset  (Gun Metal Gray, In the Ear)",₹549,2023-06-27,10:53:05
Flipkart,"GOVO GOBOLD 400 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,2023-06-27,10:53:06
Flipkart,"GOVO GOBOLD 410 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,2023-06-27,10:53:06
Flipkart,"GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,2023-06-27,10:53:07
Flipkart,"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,2023-06-27,10:53:07
